,X.,N,a,b,cp,d,g,v,NT,model,PNIE.para,TNIE.para,PNIE.eBias,TNIE.eBias,PNIE.CR,TNIE.CR,PNIE.power,PNIE.typeIerror,TNIE.power,TNIE.typeIerror,Method
1,ExpM_cond1,100,0,0,0.14,0.5,0.14,0.316227766,1,2,0,0,0.001022185,-0.000489328,0.999,0.999,NA,0.001,NA,0.001,1
2,ExpM_cond2,100,0,0,0.14,0.5,0.14,0.447213595,1,2,0,0,0.001359041,-0.000656596,1,0.999,NA,0,NA,0.001,1
3,ExpM_cond3,100,0,0,0.14,0.8,0.14,0.316227766,1,2,0,0,-0.000976654,0.000384056,0.999,1,NA,0.001,NA,0,1
4,ExpM_cond4,100,0,0,0.14,0.8,0.14,0.447213595,1,2,0,0,0.001305421,-0.00074485,0.998,0.998,NA,0.002,NA,0.002,1
5,ExpM_cond5,100,0,0.14,0.14,0.5,0.14,0.316227766,1,2,0,0,-0.001901282,0.002026444,1,0.996,NA,0,NA,0.004,1
6,ExpM_cond6,100,0,0.14,0.14,0.5,0.14,0.447213595,1,2,0,0,0.001048127,0.000823387,1,0.999,NA,0,NA,0.001,1
7,ExpM_cond7,100,0,0.14,0.14,0.8,0.14,0.316227766,1,2,0,0,0.000260931,0.001117775,1,0.995,NA,0,NA,0.005,1
8,ExpM_cond8,100,0,0.14,0.14,0.8,0.14,0.447213595,1,2,0,0,-9.55E-05,-0.001526021,1,0.998,NA,0,NA,0.002,1
9,ExpM_cond9,100,0,0.39,0.14,0.5,0.14,0.316227766,1,2,0,0,0.000603149,0.000812533,1,0.989,NA,0,NA,0.011,1
10,ExpM_cond10,100,0,0.39,0.14,0.5,0.14,0.447213595,1,2,0,0,-0.000299474,0.001680016,0.998,0.992,NA,0.002,NA,0.008,1
11,ExpM_cond11,100,0,0.39,0.14,0.8,0.14,0.316227766,1,2,0,0,0.000994586,0.00134238,0.997,0.979,NA,0.003,NA,0.021,1
12,ExpM_cond12,100,0,0.39,0.14,0.8,0.14,0.447213595,1,2,0,0,-8.37E-05,0.001098097,0.996,0.982,NA,0.004,NA,0.018,1
13,ExpM_cond13,100,0.39,0,0.14,0.5,0.14,0.316227766,1,2,-0.1092,0.1092,-0.093337642,0.045454951,0.96,0.962,0.047,NA,0.084,NA,1
14,ExpM_cond14,100,0.39,0,0.14,0.5,0.14,0.447213595,1,2,-0.1092,0.1092,0.051250617,0.014513134,0.963,0.962,0.053,NA,0.104,NA,1
15,ExpM_cond15,100,0.39,0,0.14,0.8,0.14,0.316227766,1,2,-0.1092,0.1092,0.065376076,0.003751817,0.954,0.931,0.142,NA,0.162,NA,1
16,ExpM_cond16,100,0.39,0,0.14,0.8,0.14,0.447213595,1,2,-0.1092,0.1092,0.015485347,-0.020403999,0.943,0.949,0.146,NA,0.15,NA,1
17,ExpM_cond17,100,0.39,0.14,0.14,0.5,0.14,0.316227766,1,2,0,0.2184,-0.01097716,-0.046949535,0.968,0.965,NA,0.032,0.205,NA,1
18,ExpM_cond18,100,0.39,0.14,0.14,0.5,0.14,0.447213595,1,2,0,0.2184,-0.009862195,-0.064811815,0.971,0.953,NA,0.029,0.222,NA,1
19,ExpM_cond19,100,0.39,0.14,0.14,0.8,0.14,0.316227766,1,2,0,0.2184,-0.001252311,0.009971906,0.957,0.941,NA,0.043,0.423,NA,1
